"exercise_name","selectable_by_generator","current_equipment_keys","athlete_equipment_labels","source_assignment_variants","sources","source_occurrence_count","raw_requirements","review_flag"
"1 km Repeats","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-high/mixed=none ; conditioning_template/aerobic_power=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run/Ski/Row: same nominal distance (1 km). Bike: 2 km. Air Bike: time via 250 m ≈ 1 min —> ≈4 min work. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"1 min On / 1 min Easy Tempo","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities (time-based, inside the cap). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"10 m Acceleration Reps","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/acceleration=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"10 s Max Sprint Repeats","yes","modality:air_bike | modality:bike_erg","Air bike / assault bike | Bike or bike erg","conditioning_meta/A/mixed=none ; conditioning_template/repeat_sprint=modality:air_bike+modality:bike_erg","conditioning_meta | conditioning_template","2","modalityNotes:Air Bike (native), Bike, Run. SKI/ROW EXCLUDED — Sam's flywheel-spin-up rule: an erg flywheel cannot produce real work inside a 10 s effort. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"10 s Repeat Efforts","yes","modality:air_bike | modality:bike_erg","Air bike / assault bike | Bike or bike erg","conditioning_meta/A/mixed=none ; conditioning_template/repeat_sprint=modality:air_bike+modality:bike_erg","conditioning_meta | conditioning_template","2","modalityNotes:Air Bike, Bike, Run. SKI/ROW EXCLUDED — Sam's flywheel-spin-up rule (the 10 s effort is over before the flywheel is up). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"150–200 m Hard Repeats","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/anaerobic=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run/Ski/Row: same nominal distance. Bike: distance ×2 (300–400 m). Air Bike: time via 250 m ≈ 1 min (≈36–48 s). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"1km Repeat Intervals","yes","none","None shown","conditioning_meta/B-high/run=none","conditioning_meta","1","semantic-modality:run","OK"
"2 min On / 1 min Easy","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities (time-based, inside the cap). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"20 m Acceleration Reps","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/acceleration=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"20 m Shuttle Repeats","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/repeat_sprint=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:RUN ONLY per Sam: 'would not use this on Row/Ski/Bike/Air Bike'. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"20 s Max Sprint — Small Dose","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/anaerobic=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Air Bike (native), Row, Ski, Bike — time-based, renders directly. Run: use the Repeat Sprint distance templates instead. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"200m/400m Repeat Runs","yes","none","None shown","conditioning_meta/B-high/run=none","conditioning_meta","1","semantic-modality:run","OK"
"2km Time Trial","yes","none","None shown","conditioning_meta/B-high/run=none","conditioning_meta","1","semantic-modality:run","OK"
"30 m Acceleration Reps","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/acceleration=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"30 m Repeats","yes","modality:air_bike","Air bike / assault bike","conditioning_meta/A/mixed=none ; conditioning_template/repeat_sprint=modality:air_bike","conditioning_meta | conditioning_template","2","modalityNotes:Run. Air Bike EXTRA ONLY, per Sam's own rendering: 5 s effort / 30 s very light spin, repeat. Ski/Row excluded (flywheel spin-up); Bike excluded on this row by Sam's earlier note. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"30 s Very Hard Repeats","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/anaerobic=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities (time-based). Erg rendering absorbed the 20–30 s rower/ski repeat-sprint templates. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
